Type	Name	Purpose	When	Avoid
Skill	agent-evaluation	Avaliação De Agent	Use quando a tarefa envolver avaliação end-to-end de comportamento de agent, task completion, baseline vs mudança, uso de tools, segurança, validação, latência, tokens/custo ou regressões.	Evite quando o foco for apenas qualidade de resposta de LLM, observabilidade runtime ou avaliar uma SKILL.md isolada.
Skill	agent-observability	Observabilidade De Agent	Use quando a tarefa envolver traces, trajetórias, chamadas de tool/modelo, handoffs, memória, contexto, retries, latência, custo ou diagnóstico operacional de agents.	Evite quando o foco for avaliação de qualidade, arquitetura agentic ou observabilidade geral de sistema sem comportamento de agent.
Skill	agentic-ai-engineer	Engenheiro de IA Agentic	Use quando a tarefa envolver arquitetura de agents, tool calling, MCP, memória, roteamento multi-agent, RAG dentro de sistemas agentic, guardrails, handoffs, custo/latência ou recuperação de falhas.	Evite quando o assunto for ML genérico, estatística, documentação, infraestrutura ou segurança fora do comportamento agentic.
Skill	ai-ml-engineer	Engenheiro de IA/ML	Use quando a tarefa envolver LLMs, integração de modelos, prompts, RAG, embeddings, pipelines de treino/inferência, escolha de modelo, trade-offs técnicos de custo/latência ou arquitetura ampla de sistemas de IA.	Evite quando o foco for apenas orquestração agentic detalhada, evals de LLM, SQL, dados, deploy, governança financeira ou estrutura interna de código.
Skill	analytics-instrumentation	Analytics Instrumentation	Use quando a tarefa envolver tracking plan, taxonomia de eventos, naming, schema de eventos/propriedades, identity model, ownership client/server, destinos, consentimento, versionamento ou contrato de deduplicação.	Evite quando o foco for decidir o que medir estrategicamente, configurar plataformas, validar implementação ponta a ponta ou interpretar dados de produto.
Skill	api-engineer	Engenheiro de API	Use quando a tarefa envolver contrato REST/API, versionamento, idempotência, paginação, retry, rate limit, webhook, validação, erro de integração ou compatibilidade backward.	Evite quando o foco principal for segurança, banco, frontend, cloud ou regra de negócio fora do contrato da API.
Skill	cloud-architect	Arquiteto Cloud	Use quando a tarefa envolver arquitetura cloud, managed services, compute, storage, rede, IAM, regiões, resiliência, ambientes, serverless, containers ou trade-offs de custo em cloud.	Evite quando o foco for implementação de CI/CD/IaC, desenho end-to-end da solução, FinOps medido ou código interno.
Skill	code-review	Revisor De Código	Use quando a tarefa for revisar código, PR, diff, prontidão para merge, regressões, bugs, segurança, testes ausentes ou riscos de manutenção.	Evite quando o pedido for desenho inicial sem código ou quando uma skill especialista deve liderar antes do review.
Skill	data-analyst	Analista De Dados	Use quando a tarefa envolver dashboard, KPI, leitura de métrica, resultado de experimento já rodado, apresentação de dados ou interpretação de impacto para o negócio.	Evite quando o problema for pipeline, modelagem estatística, SQL complexo, tracking técnico ou auditoria de qualidade de dados.
Skill	data-engineer	Engenheiro De Dados	Use quando a tarefa envolver arquitetura de dados, warehouse/lakehouse, ingestão, ETL/ELT, modelagem, schema, particionamento/clustering ou layout equivalente, completude, lineage ou datamart.	Evite quando o foco for query isolada, métrica de negócio, modelo estatístico, dashboard, banco operacional ou tracking de marketing.
Skill	data-scientist	Cientista De Dados	Use quando a tarefa envolver modelo estatístico/ML, feature engineering, hipótese, experimento A/B, causalidade, avaliação de modelo, drift, leakage ou incerteza.	Evite quando o foco for pipeline de dados, dashboard, SQL operacional, LLM eval específico ou decisão de produto sem análise estatística.
Skill	database-engineer	Engenheiro De Banco De Dados	Use quando a tarefa envolver banco operacional, schema relacional, índice, transação, locking, concorrência, migration, replicação, constraints ou performance de banco.	Evite quando o foco for warehouse analítico, pipeline, SQL de dashboard, cloud architecture ou API contract.
Skill	devops	DevOps	Use quando a tarefa envolver CI/CD, deploy, release automation, Docker/build, artifact registry, secrets, permissões, Terraform/OpenTofu ou equivalente, state, drift, plan/apply ou automação operacional.	Evite quando o foco for escolher a arquitetura cloud, desenho end-to-end da solução, regra de negócio ou análise de métrica.
Skill	finops	FinOps	Use quando a tarefa envolver custo, billing, orçamento, otimização de gasto cloud/LLM/API/warehouse/compute/storage/cache, atribuição de custo, alertas de budget ou plano de redução de despesa.	Evite quando o problema for trade-off técnico local sem necessidade de auditoria financeira, orçamento, atribuição ou governança.
Skill	human-writing-editor	Editor De Escrita Humana	Use quando o texto soar mecânico, genérico, repetitivo ou artificial e precisar ficar mais claro, natural, específico e humano sem perder significado.	Evite quando o conteúdo técnico ainda não foi validado ou quando a tarefa pede criação de documentação técnica factual.
Skill	llm-evaluation	Avaliação De LLM	Use quando a tarefa envolver evals de LLM, golden dataset, regressão de prompt/modelo, rubrica, judge model, alucinação, comparação de modelos, qualidade/custo/latência ou análise de falha.	Evite quando o foco for arquitetura agentic, RAG pipeline, deploy, estatística geral ou testes unitários de orquestração.
Skill	marketing-analytics	Marketing Analytics	Use quando a tarefa envolver UTM, atribuição, funil de conversão, ROI/ROAS, campanhas, estratégia de tag manager, reconciliação com ads ou mensuração de marketing.	Evite quando o foco for comportamento de produto, setup técnico de analytics/tagging, QA de tracking ou estatística experimental profunda.
Skill	product-analytics	Product Analytics	Use quando a tarefa envolver funil de produto, ativação, retenção, cohorts, engajamento, conversão, north-star metric, segmentação comportamental, Amplitude, Mixpanel, PostHog ou interpretação causal limitada.	Evite quando o foco for atribuição de marketing, contrato de instrumentação, setup técnico de tracking, dashboard genérico ou desenho estatístico profundo.
Skill	qa-tracking-integrations	QA De Tracking E Integrações	Use quando a tarefa envolver validação de evento, deep link, postback, SDK mobile, sandbox/staging, pixel/tag firing, sGTM, AppsFlyer, Adjust, Branch, Singular, Kochava, GA4/Firebase, Adobe, Amplitude, Mixpanel, PostHog, Segment, mParticle, RudderStack, Snowplow, Tealium, Meta CAPI, Enhanced Conversions, TikTok/Pinterest Events API, WordPress, VTEX, Shopify, Magento/Adobe Commerce, WooCommerce ou plano de QA de tracking.	Evite quando o foco for estratégia de marketing analytics, desenho do contrato de instrumentação, implementação técnica de analytics/tagging ou análise de negócio dos dados coletados.
Skill	secops	SecOps	Use quando a tarefa envolver hardening operacional, secrets vazados, resposta a incidente, vulnerabilidade, permissões excessivas, logs de segurança ou risco operacional de segurança.	Evite quando o foco for threat modeling de software, secure API design, deploy genérico ou arquitetura cloud sem incidente/hardening.
Skill	security-engineer	Engenheiro De Segurança	Use quando a tarefa envolver secure coding, threat modeling, OWASP, authn/authz, input validation, supply chain, least privilege, boundaries de segurança ou secure API design.	Evite quando o foco for operação de incidente, hardening runtime, CI/CD genérico ou análise funcional sem risco de segurança.
Skill	skill-evaluation	Avaliação De Skill	Use quando a tarefa envolver validar se uma SKILL.md melhora comportamento do agent, ativa no momento certo, não captura tarefas adjacentes, preserva boundaries e melhora baseline vs execução com skill.	Evite quando o foco for avaliação end-to-end do agent, observabilidade runtime ou qualidade de resposta de LLM.
Skill	software-architect	Arquiteto De Software	Use quando a tarefa envolver estrutura interna de código, pastas, módulos, camadas, acoplamento, boundaries, monorepo/polyrepo, ADRs ou dívida técnica estrutural.	Evite quando o foco for solução end-to-end, cloud, pipeline de dados, agent architecture, deploy ou execução de implementação.
Skill	solution-architect	Arquiteto De Solução	Use quando a tarefa envolver desenho end-to-end da solução conectando negócio, aplicações, serviços, APIs, integrações, dados, IA, cloud, segurança, observabilidade, operação e custo.	Evite quando o problema estiver restrito a um domínio específico que já tem skill dona, como SQL, DevOps, Software Architect ou Security Engineer.
Skill	sql-expert	Especialista SQL	Use quando a tarefa envolver SQL, joins complexos, CTEs, window functions, grão de agregação, nulos, duplicidade, cardinalidade, performance, plano de execução ou query analítica.	Evite quando o foco for modelagem de pipeline, banco operacional, dashboard de negócio ou interpretação estatística.
Skill	sre-observability	SRE E Observabilidade	Use quando a tarefa envolver SLI/SLO/SLA, logs, métricas, traces, alertas, dashboards operacionais, incidentes, error budget, capacidade, saturação, runbooks ou postmortem.	Evite quando o foco for CI/CD puro, arquitetura cloud inicial, custo financeiro ou código de negócio.
Skill	technical-documentation	Documentação Técnica	Use quando a tarefa envolver README, ADR, RFC, runbook, API docs, guia de integração, onboarding, troubleshooting, migration guide ou documentação baseada em código/comportamento real.	Evite quando a decisão técnica ainda precisa ser tomada por especialista ou quando o pedido é apenas melhorar estilo de texto.
Skill	test-automation-engineer	Engenheiro De Automação De Testes	Use quando a tarefa envolver estratégia de testes, unit/integration/contract/e2e, pytest, fixtures, mocks, fakes, flaky tests, regressão, cobertura ou CI de testes.	Evite quando o foco for review geral de código, eval de LLM, QA manual de tracking ou validação de dados.
Skill	web-analytics-engineer	Engenheiro De Web Analytics	Use quando a tarefa envolver setup técnico de GA4, Google tag, GTM, server-side GTM/sGTM, Consent Mode, Measurement Protocol, Firebase Analytics, Adobe Analytics/Tags/Web SDK, Amplitude, Mixpanel, PostHog, Segment, mParticle, RudderStack, Snowplow, Tealium, Contentsquare, FullStory, Hotjar, Microsoft Clarity, CMP, tag managers, eventos, conversões, dimensões ou métricas customizadas.	Evite quando o foco for estratégia de campanha, contrato de instrumentação, análise de produto, QA de MMP/SDK/ecommerce ou interpretação de KPI.
Role	architect	Architect	Use quando a tarefa precisar de raciocínio arquitetural: constraints, quality attributes, trade-offs, failure modes, boundaries, reversibilidade e decisões difíceis.	Evite quando você só precisa de uma especialidade técnica direta, sequência de execução ou implementação.
Role	data-quality-auditor	Data Quality Auditor	Use quando a tarefa for auditar se dados estão completos, consistentes, frescos, rastreáveis e seguros para uma decisão.	Evite quando o pedido for corrigir o pipeline, interpretar KPI de negócio ou escrever SQL sem auditoria de evidência.
Role	debugger	Debugger	Use quando houver bug, falha, incidente, teste flaky ou necessidade de root cause analysis.	Evite quando a tarefa for planejamento, review sem falha conhecida ou implementação direta já bem especificada.
Role	implementer	Implementer	Use quando a abordagem estiver clara e a tarefa principal for alterar arquivos.	Evite quando ainda faltam investigação, decisão arquitetural, review ou pesquisa.
Role	researcher	Researcher	Use quando a tarefa exigir investigação cuidadosa, comparação de fontes, incerteza, revisão de literatura/documentação, verificação de fatos ou síntese de evidência.	Evite quando a tarefa for alteração direta de código, review de diff ou decisão de domínio sem necessidade de pesquisa.
Role	reviewer	Reviewer	Use quando a tarefa for review de código, PR, diff ou prontidão para merge.	Evite quando a tarefa for implementar, planejar ou investigar uma falha antes de existir diff revisável.
Role	tech-lead	Tech Lead	Use quando a tarefa envolver planejamento, priorização, sequência, coordenação, delegação e risco de projeto.	Evite quando você precisa de expertise arquitetural/técnica específica em vez de coordenação.
Workflow	architecture-change	Architecture Change Workflow	Use quando a tarefa envolver mudança estrutural, boundary, módulo, serviço, arquitetura ou ADR.	Evite quando a mudança for local, trivial ou sem impacto arquitetural.
Workflow	bugfix	Bugfix Workflow	Use quando a tarefa for reproduzir, isolar, corrigir e validar uma falha.	Evite quando não há comportamento quebrado ou hipótese de bug.
Workflow	documentation	Documentation Workflow	Use quando a tarefa for criar ou revisar documentação técnica com base em evidência do repositório.	Evite quando a tarefa for só edição de estilo ou decisão técnica ainda não resolvida.
Workflow	evaluate-agent	Avaliar Agent	Use quando a tarefa for comparar comportamento de agent em tarefas reais: baseline, versão alterada, critérios de sucesso, tool calls, validação, segurança, latência, custo e regressões.	Evite quando o objetivo for apenas review de código, eval de prompt/modelo ou avaliação isolada de SKILL.md.
Workflow	evaluate-skill	Avaliar Skill	Use quando a tarefa for validar ativação, boundaries e ganho real de uma SKILL.md contra baseline sem a skill.	Evite quando a tarefa não envolver criação, alteração ou auditoria de skill.
Workflow	feature	Feature Workflow	Use quando a tarefa for implementar uma nova funcionalidade ou comportamento.	Evite quando o trabalho principal for investigação, review, refactor ou documentação.
Workflow	humanize-writing	Humanize Writing Workflow	Use quando a tarefa for melhorar naturalidade, clareza e voz de um texto preservando significado.	Evite quando o texto ainda precisa de validação técnica factual.
Workflow	investigate	Investigate Workflow	Use quando a tarefa for descobrir causa, evidência, caminho de código/dados ou resposta antes de decidir uma ação.	Evite quando a solução já está clara e só falta implementar.
